Agent,Baseline Net ($),P2P Net ($),Savings ($),P2P Traded (kWh),Grid Traded (kWh),Peer Trade %
1,-19.712,-12.42,7.292,3.65,0.82,81.58
2,6.5299,13.2395,6.7096,3.35,0,99.86
3,12.1328,24.0444,11.9116,5.96,0.5,92.18
4,7.178,16.0014,8.8234,4.41,0.76,85.31
5,6.6805,11.4149,4.7344,2.37,1.19,66.48
6,7.8999,10.7651,2.8652,1.43,2.27,38.64
7,-30.463,-19.9928,10.4702,5.24,0.26,95.27
8,-17.9653,-11.9787,5.9866,2.99,0.17,94.49
9,-31.4629,-23.7909,7.672,3.84,1.66,69.79
10,-26.2596,-22.6362,3.6234,1.81,4.4,29.17
